Severity,Process,IP:Port,Score,Timestamp,Reason
CRITICAL,System Idle Process,98.84.87.4:80,87.0,2026-04-22 09:29:29,Unknown process not in whitelist; Frequent connections: 62 in 60 seconds; High connection frequency baseline: 110; Beaconing pattern: 17 hits to 98.84.87.4:80; Connection burst: 14 connections in 10 seconds; Multi-destination activity: 7 unique endpoints
CRITICAL,System Idle Process,98.84.87.4:80,87.0,2026-04-22 09:29:27,Unknown process not in whitelist; Frequent connections: 63 in 60 seconds; High connection frequency baseline: 108; Beaconing pattern: 15 hits to 98.84.87.4:80; Connection burst: 13 connections in 10 seconds; Multi-destination activity: 7 unique endpoints
CRITICAL,System Idle Process,98.84.87.4:80,87.0,2026-04-22 09:29:27,Unknown process not in whitelist; Frequent connections: 64 in 60 seconds; High connection frequency baseline: 109; Beaconing pattern: 16 hits to 98.84.87.4:80; Connection burst: 14 connections in 10 seconds; Multi-destination activity: 7 unique endpoints
CRITICAL,System Idle Process,98.84.87.4:80,87.0,2026-04-22 09:29:26,Unknown process not in whitelist; Frequent connections: 67 in 60 seconds; High connection frequency baseline: 107; Beaconing pattern: 14 hits to 98.84.87.4:80; Connection burst: 13 connections in 10 seconds; Multi-destination activity: 9 unique endpoints
CRITICAL,System Idle Process,98.84.87.4:80,87.0,2026-04-22 09:29:25,Unknown process not in whitelist; Frequent connections: 68 in 60 seconds; High connection frequency baseline: 106; Beaconing pattern: 13 hits to 98.84.87.4:80; Connection burst: 12 connections in 10 seconds; Multi-destination activity: 10 unique endpoints
CRITICAL,System Idle Process,98.84.87.4:80,87.0,2026-04-22 09:29:24,Unknown process not in whitelist; Frequent connections: 66 in 60 seconds; High connection frequency baseline: 103; Beaconing pattern: 10 hits to 98.84.87.4:80; Connection burst: 9 connections in 10 seconds; Multi-destination activity: 10 unique endpoints
CRITICAL,System Idle Process,98.84.87.4:80,87.0,2026-04-22 09:29:24,Unknown process not in whitelist; Frequent connections: 67 in 60 seconds; High connection frequency baseline: 104; Beaconing pattern: 11 hits to 98.84.87.4:80; Connection burst: 10 connections in 10 seconds; Multi-destination activity: 10 unique endpoints
CRITICAL,System Idle Process,98.84.87.4:80,87.0,2026-04-22 09:29:24,Unknown process not in whitelist; Frequent connections: 68 in 60 seconds; High connection frequency baseline: 105; Beaconing pattern: 12 hits to 98.84.87.4:80; Connection burst: 11 connections in 10 seconds; Multi-destination activity: 10 unique endpoints
CRITICAL,System Idle Process,98.84.87.4:80,87.0,2026-04-22 09:29:23,Unknown process not in whitelist; Frequent connections: 66 in 60 seconds; High connection frequency baseline: 102; Beaconing pattern: 9 hits to 98.84.87.4:80; Connection burst: 9 connections in 10 seconds; Multi-destination activity: 10 unique endpoints
CRITICAL,System Idle Process,98.84.87.4:80,80.0,2026-04-22 09:29:22,Unknown process not in whitelist; Frequent connections: 64 in 60 seconds; High connection frequency baseline: 100; Repeated destination: 7 hits to 98.84.87.4:80; Connection burst: 8 connections in 10 seconds; Multi-destination activity: 10 unique endpoints
