Timestamp,Process,PID,Destination IP,Port,Suspicion Score,Risk Level,Severity,Reasons,Intent Score,Protocol
2026-04-22 09:29:22,System Idle Process,0,98.84.87.4,80,80.0,CRITICAL,CRITICAL,Unknown process not in whitelist; Frequent connections: 64 in 60 seconds; High connection frequency baseline: 100; Repeated destination: 7 hits to 98.84.87.4:80; Connection burst: 8 connections in 10 seconds; Multi-destination activity: 10 unique endpoints,1.0,TCP
2026-04-22 09:29:22,LenovoVantageService.exe,4276,18.155.99.56,443,20.0,SAFE,SAFE,Unknown process not in whitelist,1.0,TCP
2026-04-22 09:29:22,System Idle Process,0,98.84.87.4,80,80.0,CRITICAL,CRITICAL,Unknown process not in whitelist; Frequent connections: 65 in 60 seconds; High connection frequency baseline: 101; Repeated destination: 8 hits to 98.84.87.4:80; Connection burst: 9 connections in 10 seconds; Multi-destination activity: 10 unique endpoints,1.0,TCP
2026-04-22 09:29:22,python.exe,19916,98.84.87.4,80,62.0,HIGH,HIGH,Frequent connections: 79 in 60 seconds; High connection frequency baseline: 102; Beaconing pattern: 10 hits to 98.84.87.4:80; Connection burst: 12 connections in 10 seconds; Multi-destination activity: 9 unique endpoints,1.0,TCP
2026-04-22 09:29:21,python.exe,19916,98.84.87.4,80,55.0,HIGH,HIGH,Frequent connections: 76 in 60 seconds; High connection frequency baseline: 99; Repeated destination: 7 hits to 98.84.87.4:80; Connection burst: 9 connections in 10 seconds; Multi-destination activity: 9 unique endpoints,1.0,TCP
2026-04-22 09:29:21,python.exe,22016,98.84.87.4,80,55.0,HIGH,HIGH,Frequent connections: 77 in 60 seconds; High connection frequency baseline: 100; Repeated destination: 8 hits to 98.84.87.4:80; Connection burst: 10 connections in 10 seconds; Multi-destination activity: 9 unique endpoints,1.0,TCP
2026-04-22 09:29:21,System Idle Process,0,98.84.87.4,80,80.0,CRITICAL,CRITICAL,Unknown process not in whitelist; Frequent connections: 64 in 60 seconds; High connection frequency baseline: 98; Repeated destination: 5 hits to 98.84.87.4:80; Connection burst: 7 connections in 10 seconds; Multi-destination activity: 11 unique endpoints,1.0,TCP
2026-04-22 09:29:21,System Idle Process,0,98.84.87.4,80,80.0,CRITICAL,CRITICAL,Unknown process not in whitelist; Frequent connections: 65 in 60 seconds; High connection frequency baseline: 99; Repeated destination: 6 hits to 98.84.87.4:80; Connection burst: 8 connections in 10 seconds; Multi-destination activity: 11 unique endpoints,1.0,TCP
2026-04-22 09:29:21,python.exe,19916,98.84.87.4,80,62.0,HIGH,HIGH,Frequent connections: 78 in 60 seconds; High connection frequency baseline: 101; Beaconing pattern: 9 hits to 98.84.87.4:80; Connection burst: 11 connections in 10 seconds; Multi-destination activity: 9 unique endpoints,1.0,TCP
2026-04-22 09:29:20,System Idle Process,0,98.84.87.4,80,72.0,HIGH,HIGH,Unknown process not in whitelist; Frequent connections: 63 in 60 seconds; High connection frequency baseline: 97; Connection burst: 6 connections in 10 seconds; Multi-destination activity: 11 unique endpoints,1.0,TCP
2026-04-22 09:29:20,python.exe,19916,98.84.87.4,80,55.0,HIGH,HIGH,Frequent connections: 77 in 60 seconds; High connection frequency baseline: 98; Repeated destination: 6 hits to 98.84.87.4:80; Connection burst: 9 connections in 10 seconds; Multi-destination activity: 9 unique endpoints,1.0,TCP
2026-04-22 09:29:19,python.exe,19916,98.84.87.4,80,55.0,HIGH,HIGH,Frequent connections: 76 in 60 seconds; High connection frequency baseline: 97; Repeated destination: 5 hits to 98.84.87.4:80; Connection burst: 9 connections in 10 seconds; Multi-destination activity: 9 unique endpoints,1.0,TCP
2026-04-22 09:29:19,System Idle Process,0,98.84.87.4,80,66.0,HIGH,HIGH,Unknown process not in whitelist; Frequent connections: 62 in 60 seconds; High connection frequency baseline: 96; Rapid connection rate: 5 in 10 seconds; Multi-destination activity: 11 unique endpoints,1.0,TCP
2026-04-22 09:29:18,python.exe,22016,98.84.87.4,80,47.0,MEDIUM,MEDIUM,Frequent connections: 74 in 60 seconds; High connection frequency baseline: 95; Connection burst: 7 connections in 10 seconds; Multi-destination activity: 9 unique endpoints,1.0,TCP
2026-04-22 09:29:18,python.exe,25448,98.84.87.4,80,47.0,MEDIUM,MEDIUM,Frequent connections: 75 in 60 seconds; High connection frequency baseline: 96; Connection burst: 8 connections in 10 seconds; Multi-destination activity: 9 unique endpoints,1.0,TCP
2026-04-22 09:29:17,python.exe,23708,93.184.216.34,8080,72.0,HIGH,HIGH,Frequent connections: 75 in 60 seconds; Unusual port: 8080; High connection frequency baseline: 94; Beaconing pattern: 10 hits to 93.184.216.34:8080; Connection burst: 8 connections in 10 seconds; Multi-destination activity: 9 unique endpoints,1.0,TCP
2026-04-22 09:29:17,System Idle Process,0,98.84.87.4,80,72.0,HIGH,HIGH,Unknown process not in whitelist; Frequent connections: 63 in 60 seconds; High connection frequency baseline: 95; Connection burst: 7 connections in 10 seconds; Multi-destination activity: 12 unique endpoints,1.0,TCP
2026-04-22 09:29:16,python.exe,22016,98.84.87.4,80,47.0,MEDIUM,MEDIUM,Frequent connections: 74 in 60 seconds; High connection frequency baseline: 93; Connection burst: 10 connections in 10 seconds; Multi-destination activity: 9 unique endpoints,1.0,TCP
2026-04-22 09:29:16,msedge.exe,28320,3.229.36.203,443,8.0,SAFE,SAFE,Elevated connection rate: 4 in 60 seconds; High connection frequency baseline: 40; Multiple destinations: 4 unique endpoints,1.0,TCP
2026-04-22 09:29:14,System Idle Process,0,98.84.87.4,80,72.0,HIGH,HIGH,Unknown process not in whitelist; Frequent connections: 65 in 60 seconds; High connection frequency baseline: 94; Connection burst: 12 connections in 10 seconds; Multi-destination activity: 12 unique endpoints,1.0,TCP
2026-04-22 09:29:13,python.exe,25448,35.190.14.201,443,47.0,MEDIUM,MEDIUM,Frequent connections: 75 in 60 seconds; High connection frequency baseline: 91; Connection burst: 14 connections in 10 seconds; Multi-destination activity: 8 unique endpoints,1.0,TCP
2026-04-22 09:29:13,System Idle Process,0,35.190.14.201,443,72.0,HIGH,HIGH,Unknown process not in whitelist; Frequent connections: 66 in 60 seconds; High connection frequency baseline: 93; Connection burst: 14 connections in 10 seconds; Multi-destination activity: 11 unique endpoints,1.0,TCP
2026-04-22 09:29:13,python.exe,22016,98.84.87.4,80,47.0,MEDIUM,MEDIUM,Frequent connections: 76 in 60 seconds; High connection frequency baseline: 92; Connection burst: 15 connections in 10 seconds; Multi-destination activity: 9 unique endpoints,1.0,TCP
2026-04-22 09:29:12,msedge.exe,28320,150.171.28.11,443,0.0,SAFE,SAFE,High connection frequency baseline: 39,1.0,TCP
2026-04-22 09:29:12,System Idle Process,0,3.234.199.80,80,87.0,CRITICAL,CRITICAL,Unknown process not in whitelist; Frequent connections: 67 in 60 seconds; High connection frequency baseline: 92; Beaconing pattern: 28 hits to 3.234.199.80:80; Connection burst: 14 connections in 10 seconds; Multi-destination activity: 11 unique endpoints,1.0,TCP
2026-04-22 09:29:11,python.exe,22016,3.234.199.80,80,62.0,HIGH,HIGH,Frequent connections: 79 in 60 seconds; High connection frequency baseline: 90; Beaconing pattern: 29 hits to 3.234.199.80:80; Connection burst: 15 connections in 10 seconds; Multi-destination activity: 8 unique endpoints,1.0,TCP
2026-04-22 09:29:10,LenovoVantage-(LenovoSecurityAddin).exe,1084,49.44.153.183,443,20.0,SAFE,SAFE,Unknown process not in whitelist,1.0,TCP
2026-04-22 09:29:10,python.exe,23708,93.184.216.34,8080,72.0,HIGH,HIGH,Frequent connections: 79 in 60 seconds; Unusual port: 8080; High connection frequency baseline: 89; Beaconing pattern: 10 hits to 93.184.216.34:8080; Connection burst: 17 connections in 10 seconds; Multi-destination activity: 8 unique endpoints,1.0,TCP
2026-04-22 09:29:09,OfficeC2RClient.exe,11812,51.132.193.105,443,20.0,SAFE,SAFE,Unknown process not in whitelist,1.0,TCP
